"","fulltag_clean","grp","julian","present","grpsize","mom_in_grp","fem_sibs_in_grp","same_cohort_count","no_ewes","no_rams","no_lambs","focal_animal_age","focal_lamb_status","choice_set","year_in","animal_day","grp_day"
"1","BRIE","1",308,1,1,0,1,1,1,0,0,10,NA,1,1990,"BRIE_308","1_308"
"2","BRIE","2",308,0,2,0,0,0,1,1,0,10,NA,1,1990,"BRIE_308","2_308"
"3","BRIE","3",308,0,1,0,0,0,1,0,0,10,NA,1,1990,"BRIE_308","3_308"
"4","BRIE","4",308,0,2,0,0,0,0,2,0,10,NA,1,1990,"BRIE_308","4_308"
"5","BRIE","5",308,0,1,0,0,0,0,1,0,10,NA,1,1990,"BRIE_308","5_308"
"6","BRIE","6",308,0,5,0,0,0,3,2,0,10,NA,1,1990,"BRIE_308","6_308"
"7","BRIE","7",308,0,1,0,0,0,1,0,0,10,NA,1,1990,"BRIE_308","7_308"
"8","BRIE","8",308,0,5,0,0,0,3,2,0,10,NA,1,1990,"BRIE_308","8_308"
"9","BRIE","9",308,0,2,0,0,0,2,0,0,10,NA,1,1990,"BRIE_308","9_308"
"10","BRIE","unobs",308,0,30,1,1,0,15,16,0,10,NA,1,1990,"BRIE_308","unobs_308"
"11","DROOPY","1",308,0,1,0,0,0,1,0,0,2,NA,2,1990,"DROOPY_308","1_308"
"12","DROOPY","2",308,1,2,0,1,1,1,1,0,2,NA,2,1990,"DROOPY_308","2_308"
"13","DROOPY","3",308,0,1,0,0,0,1,0,0,2,NA,2,1990,"DROOPY_308","3_308"
"14","DROOPY","4",308,0,2,0,0,0,0,2,0,2,NA,2,1990,"DROOPY_308","4_308"
"15","DROOPY","5",308,0,1,0,0,1,0,1,0,2,NA,2,1990,"DROOPY_308","5_308"
"16","DROOPY","6",308,0,5,0,0,0,3,2,0,2,NA,2,1990,"DROOPY_308","6_308"
"17","DROOPY","7",308,0,1,0,0,0,1,0,0,2,NA,2,1990,"DROOPY_308","7_308"
"18","DROOPY","8",308,0,5,0,0,1,3,2,0,2,NA,2,1990,"DROOPY_308","8_308"
"19","DROOPY","9",308,0,2,0,0,0,2,0,0,2,NA,2,1990,"DROOPY_308","9_308"
"20","DROOPY","unobs",308,0,30,1,0,10,15,16,0,2,NA,2,1990,"DROOPY_308","unobs_308"
"21","CLUBHORN","1",308,0,1,0,0,0,1,0,0,3,NA,3,1990,"CLUBHORN_308","1_308"
"22","CLUBHORN","2",308,1,2,0,1,1,1,1,0,3,NA,3,1990,"CLUBHORN_308","2_308"
"23","CLUBHORN","3",308,0,1,0,0,0,1,0,0,3,NA,3,1990,"CLUBHORN_308","3_308"
"24","CLUBHORN","4",308,0,2,0,0,0,0,2,0,3,NA,3,1990,"CLUBHORN_308","4_308"
"25","CLUBHORN","5",308,0,1,0,0,0,0,1,0,3,NA,3,1990,"CLUBHORN_308","5_308"
"26","CLUBHORN","6",308,0,5,0,1,0,3,2,0,3,NA,3,1990,"CLUBHORN_308","6_308"
"27","CLUBHORN","7",308,0,1,0,1,0,1,0,0,3,NA,3,1990,"CLUBHORN_308","7_308"
"28","CLUBHORN","8",308,0,5,0,0,1,3,2,0,3,NA,3,1990,"CLUBHORN_308","8_308"
"29","CLUBHORN","9",308,0,2,0,1,0,2,0,0,3,NA,3,1990,"CLUBHORN_308","9_308"
"30","CLUBHORN","unobs",308,0,30,1,-1,3,15,16,0,3,NA,3,1990,"CLUBHORN_308","unobs_308"
"31","UM","1",308,0,1,0,0,0,1,0,0,9,NA,4,1990,"UM_308","1_308"
"32","UM","2",308,0,2,0,0,0,1,1,0,9,NA,4,1990,"UM_308","2_308"
"33","UM","3",308,1,1,0,1,1,1,0,0,9,NA,4,1990,"UM_308","3_308"
"34","UM","4",308,0,2,0,0,0,0,2,0,9,NA,4,1990,"UM_308","4_308"
"35","UM","5",308,0,1,0,0,0,0,1,0,9,NA,4,1990,"UM_308","5_308"
"36","UM","6",308,0,5,0,0,0,3,2,0,9,NA,4,1990,"UM_308","6_308"
"37","UM","7",308,0,1,0,0,0,1,0,0,9,NA,4,1990,"UM_308","7_308"
"38","UM","8",308,0,5,0,0,1,3,2,0,9,NA,4,1990,"UM_308","8_308"
"39","UM","9",308,0,2,0,0,0,2,0,0,9,NA,4,1990,"UM_308","9_308"
"40","UM","unobs",308,0,30,1,0,5,15,16,0,9,NA,4,1990,"UM_308","unobs_308"
"41","MACK","1",308,0,1,0,0,0,1,0,0,8,NA,5,1990,"MACK_308","1_308"
"42","MACK","2",308,0,2,0,0,0,1,1,0,8,NA,5,1990,"MACK_308","2_308"
"43","MACK","3",308,0,1,0,0,0,1,0,0,8,NA,5,1990,"MACK_308","3_308"
"44","MACK","4",308,1,2,0,2,1,0,2,0,8,NA,5,1990,"MACK_308","4_308"
"45","MACK","5",308,0,1,0,0,0,0,1,0,8,NA,5,1990,"MACK_308","5_308"
"46","MACK","6",308,0,5,0,1,0,3,2,0,8,NA,5,1990,"MACK_308","6_308"
"47","MACK","7",308,0,1,0,0,0,1,0,0,8,NA,5,1990,"MACK_308","7_308"
"48","MACK","8",308,0,5,0,1,0,3,2,0,8,NA,5,1990,"MACK_308","8_308"
"49","MACK","9",308,0,2,0,1,0,2,0,0,8,NA,5,1990,"MACK_308","9_308"
"50","MACK","unobs",308,0,30,1,11,2,15,16,0,8,NA,5,1990,"MACK_308","unobs_308"
"51","SAM","1",308,0,1,0,0,0,1,0,0,7,NA,6,1990,"SAM_308","1_308"
"52","SAM","2",308,0,2,0,0,0,1,1,0,7,NA,6,1990,"SAM_308","2_308"
"53","SAM","3",308,0,1,0,0,0,1,0,0,7,NA,6,1990,"SAM_308","3_308"
"54","SAM","4",308,1,2,0,2,1,0,2,0,7,NA,6,1990,"SAM_308","4_308"
"55","SAM","5",308,0,1,0,0,0,0,1,0,7,NA,6,1990,"SAM_308","5_308"
