Date,Time,Individual - Full Name,pre/rut/post,Sample ID,Collected by,Lost?,Notes
11/18/2019,11:30,DARK GOLD,Rut,NBR01,TP,Due Weather,
11/18/2019,13:53,OAK,Rut,NBR02,TP,Due Weather,
11/18/2019,14:30,LOXA,Rut,NBR03,TP,Due Weather,
11/18/2019,14:36,TALL,Rut,NBR04,TP,Due Weather,
11/18/2019,15:25,BOW,Rut,NBR05,TP,Due Weather,
11/18/2019,15:09,RUG,Rut,NBR06,TP,Due Weather,
11/20/2019,17:13,NUBIAN,Rut,NBR07,TP,Due Weather,
11/21/2019,15:09,DUNE,Rut,NBR08,TP,Due Weather,
11/21/2019,15:57,PINCH,Rut,NBR09,TP,Due Weather,
11/21/2019,16:07,CLINE,Rut,NBR10,TP,Due Weather,
11/21/2019,16:16,BEECH,Rut,NBR11,TP,Due Weather,
11/21/2019,14:34,PEAK,Rut,NBR12,TP,Due Weather,
11/22/2019,12:09,CANOE,Rut,NBR13,TP,Due Weather,
11/22/2019,12:24,CHISEL,Rut,NBR14,TP,Due Weather,
12/2/2019,16:20,COTTON,Rut,NBR 19-15,TP,Due Weight,
12/3/2019,14:55,BOW,Rut,NBR 19-16,PC,,
12/3/2019,13:30,WEEPY,Rut,NBR 19-17,TP,,Not split; All sent to Paul for hormones
12/3/2019,13:38,TALL,Rut,NBR 19-18,TP,,
12/3/2019,13:42,BEECH,Rut,NBR 19-19,TP,Due Weight,
12/3/2019,13:59,DUNE,Rut,NBR 19-20,PC,Due Weight,
12/3/2019,14:20,PINCH,Rut,NBR 19-21,PC,Due Weight,
12/3/2019,14:55,TANG,Rut,NBR 19-22,PC,,
12/4/2019,12:35,WEEPY,Rut,NBR 19-23,PC,,Not split; All sent to Vanessa
12/4/2019,14:15,OAK,Rut,NBR 19-24,PC,,
12/4/2019,14:20,PEAK,Rut,NBR 19-25,PC,Due Weight,
12/4/2019,14:30,SILICA,Rut,NBR 19-26,PC,,Not split; All sent to Vanessa
12/4/2019,14:20,SILICA,Rut,NBR 19-27,PC,,Not split; All sent to Paul for hormones
12/6/2019,13:40,CANOE,Rut,NBR 19-28,PC,,
12/6/2019,15:00,OAK,Rut,NBR 19-29,PC,,
12/6/2019,14:20,RUG,Rut,NBR 19-30,PC,,
12/6/2019,16:00,YAYA,Rut,NBR 19-31,PC,,
12/6/2019,16:00,MONO,Rut,NBR 19-32,PC,,
12/6/2019,16:00,QUILT,Rut,NBR 19-33,TP,,
12/6/2019,16:00,CLINE,Rut,NBR 19-34,PC,,
12/10/2019,13:13,COTTON,Post,NBR 19-35,TP,,
12/10/2019,16:09,PINCH,Post,NBR 19-36,TP,,
12/10/2019,16:18,YAYA,Post,NBR 19-37,TP,,
12/10/2019,16:35,NUBIAN,Post,NBR 19-38,TP,,
12/10/2019,16:52,BOX,Post,NBR 19-39,TP,,
12/10/2019,17:02,STONE,Post,NBR 19-40,TP,,
12/11/2019,12:22,LIME,Post,NBR 19-41,TP,,
12/11/2019,12:29,STONE,Post,NBR 19-42,TP,,
12/11/2019,12:39,BEECH,Post,NBR 19-43,TP,,
12/11/2019,14:33,DARK GOLD,Post,NBR 19-44,TP,,23 Successful samples sent to Vanessa from 20 individuals
,,,,,,,
